Time,# Clients
2023-10-30 00:00:00+00:00,4299
2023-10-31 00:00:00+00:00,4551
2023-11-01 00:00:00+00:00,2904
2023-11-02 00:00:00+00:00,3345
2023-11-03 00:00:00+00:00,4090
2023-11-04 00:00:00+00:00,2921
2023-11-05 00:00:00+00:00,439
2023-11-06 00:00:00+00:00,572
2023-11-07 00:00:00+00:00,4046
2023-11-08 00:00:00+00:00,4869
2023-11-09 00:00:00+00:00,4374
2023-11-10 00:00:00+00:00,4105
2023-11-11 00:00:00+00:00,2980
2023-11-12 00:00:00+00:00,308
2023-11-13 00:00:00+00:00,559
2023-11-14 00:00:00+00:00,3329
2023-11-15 00:00:00+00:00,4299
2023-11-16 00:00:00+00:00,2933
2023-11-17 00:00:00+00:00,4025
2023-11-18 00:00:00+00:00,2811
2023-11-19 00:00:00+00:00,360
2023-11-20 00:00:00+00:00,4357
2023-11-21 00:00:00+00:00,3913
2023-11-22 00:00:00+00:00,4417
2023-11-23 00:00:00+00:00,4275
2023-11-24 00:00:00+00:00,3751
2023-11-25 00:00:00+00:00,2823
2023-11-26 00:00:00+00:00,309
2023-11-27 00:00:00+00:00,4039
2023-11-28 00:00:00+00:00,3595
2023-11-29 00:00:00+00:00,3117
2023-11-30 00:00:00+00:00,3941
2023-12-01 00:00:00+00:00,3821
2023-12-02 00:00:00+00:00,2674
2023-12-03 00:00:00+00:00,301
2023-12-04 00:00:00+00:00,3996
2023-12-05 00:00:00+00:00,3488
2023-12-06 00:00:00+00:00,3076
2023-12-07 00:00:00+00:00,2181
2023-12-08 00:00:00+00:00,330
2023-12-09 00:00:00+00:00,1078
2023-12-10 00:00:00+00:00,310
2023-12-11 00:00:00+00:00,900
2023-12-12 00:00:00+00:00,741
2023-12-13 00:00:00+00:00,915
2023-12-14 00:00:00+00:00,750
2023-12-15 00:00:00+00:00,783
2023-12-16 00:00:00+00:00,379
2023-12-17 00:00:00+00:00,286
2023-12-18 00:00:00+00:00,537
2023-12-19 00:00:00+00:00,573
2023-12-20 00:00:00+00:00,538
2023-12-21 00:00:00+00:00,575
2023-12-22 00:00:00+00:00,440
2023-12-23 00:00:00+00:00,253
2023-12-24 00:00:00+00:00,264
2023-12-25 00:00:00+00:00,246
2023-12-26 00:00:00+00:00,389
2023-12-27 00:00:00+00:00,402
2023-12-27 00:00:00+00:00,402
2023-12-28 00:00:00+00:00,379
2023-12-28 00:00:00+00:00,379
2023-12-29 00:00:00+00:00,383
2023-12-29 00:00:00+00:00,383
2023-12-30 00:00:00+00:00,215
2023-12-30 00:00:00+00:00,215
2023-12-31 00:00:00+00:00,177
2023-12-31 00:00:00+00:00,177
2024-01-01 00:00:00+00:00,188
2024-01-02 00:00:00+00:00,217
2024-01-03 00:00:00+00:00,301
2024-01-04 00:00:00+00:00,337
2024-01-05 00:00:00+00:00,355
2024-01-06 00:00:00+00:00,267
2024-01-07 00:00:00+00:00,250
2024-01-08 00:00:00+00:00,245
2024-01-09 00:00:00+00:00,448
2024-01-10 00:00:00+00:00,435
2024-01-11 00:00:00+00:00,1095
2024-01-12 00:00:00+00:00,1428
2024-01-13 00:00:00+00:00,402
2024-01-14 00:00:00+00:00,354
2024-01-15 00:00:00+00:00,3595
2024-01-16 00:00:00+00:00,3624
2024-01-17 00:00:00+00:00,3789
2024-01-18 00:00:00+00:00,3309
2024-01-19 00:00:00+00:00,3482
2024-01-20 00:00:00+00:00,1772
2024-01-21 00:00:00+00:00,286
2024-01-22 00:00:00+00:00,4180
2024-01-23 00:00:00+00:00,4578
2024-01-24 00:00:00+00:00,4655
2024-01-25 00:00:00+00:00,4324
